Jurisdiction,Month,Year,Number_fires
British Columbia,January,1991,2.0
British Columbia,February,1991,5.0
British Columbia,March,1991,25.0
British Columbia,April,1991,204.0
British Columbia,May,1991,193.0
British Columbia,June,1991,291.0
British Columbia,July,1991,296.0
British Columbia,August,1991,573.0
British Columbia,September,1991,172.0
British Columbia,October,1991,248.0
British Columbia,November,1991,5.0
British Columbia,December,1991,
Manitoba,January,1991,5.0
Manitoba,February,1991,3.0
Manitoba,March,1991,12.0
Manitoba,April,1991,109.0
Manitoba,May,1991,75.0
Manitoba,June,1991,77.0
Manitoba,July,1991,142.0
Manitoba,August,1991,222.0
Manitoba,September,1991,21.0
Manitoba,October,1991,6.0
Manitoba,November,1991,
Manitoba,December,1991,
New Brunswick,March,1991,
New Brunswick,April,1991,91.0
New Brunswick,May,1991,154.0
New Brunswick,June,1991,150.0
New Brunswick,July,1991,141.0
New Brunswick,August,1991,92.0
New Brunswick,September,1991,20.0
New Brunswick,October,1991,7.0
New Brunswick,November,1991,1.0
New Brunswick,December,1991,
Newfoundland and Labrador,January,1991,
Newfoundland and Labrador,March,1991,
Newfoundland and Labrador,April,1991,4.0
Newfoundland and Labrador,May,1991,29.0
Newfoundland and Labrador,June,1991,38.0
Newfoundland and Labrador,July,1991,12.0
Newfoundland and Labrador,August,1991,32.0
Newfoundland and Labrador,September,1991,
Newfoundland and Labrador,October,1991,
Newfoundland and Labrador,November,1991,
Newfoundland and Labrador,December,1991,
Northwest Territories,January,1991,
Northwest Territories,February,1991,
Northwest Territories,April,1991,
Northwest Territories,May,1991,5.0
Northwest Territories,June,1991,59.0
Northwest Territories,July,1991,149.0
Northwest Territories,August,1991,117.0
Northwest Territories,September,1991,1.0
Northwest Territories,October,1991,
Northwest Territories,November,1991,
Northwest Territories,December,1991,
Nova Scotia,January,1991,
Nova Scotia,March,1991,26.0
Nova Scotia,April,1991,208.0
Nova Scotia,May,1991,174.0
Nova Scotia,June,1991,145.0
Nova Scotia,July,1991,162.0
Nova Scotia,August,1991,10.0
Nova Scotia,September,1991,
Nova Scotia,October,1991,1.0
Nova Scotia,November,1991,
Ontario,January,1991,
Ontario,February,1991,
Ontario,March,1991,12.0
Ontario,April,1991,210.0
Ontario,May,1991,231.0
Ontario,June,1991,415.0
Ontario,July,1991,586.0
Ontario,August,1991,944.0
Ontario,September,1991,138.0
Ontario,October,1991,11.0
Ontario,November,1991,12.0
Ontario,December,1991,1.0
Prince Edward Island,January,1991,0.0
Prince Edward Island,February,1991,0.0
Prince Edward Island,March,1991,2.0
Prince Edward Island,April,1991,17.0
Prince Edward Island,May,1991,16.0
Prince Edward Island,June,1991,8.0
Prince Edward Island,July,1991,3.0
Prince Edward Island,August,1991,2.0
Prince Edward Island,September,1991,0.0
Prince Edward Island,October,1991,0.0
Prince Edward Island,November,1991,0.0
Prince Edward Island,December,1991,0.0
Quebec,February,1991,
Quebec,March,1991,1.0
Quebec,April,1991,64.0
Quebec,May,1991,220.0
Quebec,June,1991,408.0
Quebec,July,1991,318.0
Quebec,August,1991,162.0
Quebec,September,1991,32.0
Quebec,October,1991,6.0
Quebec,November,1991,5.0
Quebec,December,1991,
Saskatchewan,January,1991,2.0
Saskatchewan,February,1991,
Saskatchewan,March,1991,1.0
Saskatchewan,April,1991,79.0
Saskatchewan,May,1991,127.0
Saskatchewan,June,1991,75.0
Saskatchewan,July,1991,111.0
Saskatchewan,August,1991,272.0
Saskatchewan,September,1991,48.0
Saskatchewan,October,1991,31.0
Saskatchewan,November,1991,14.0
Saskatchewan,December,1991,2.0
Yukon,January,1991,
Yukon,March,1991,
Yukon,April,1991,8.0
Yukon,May,1991,28.0
Yukon,June,1991,109.0
Yukon,July,1991,33.0
Yukon,August,1991,9.0
Yukon,September,1991,
Yukon,October,1991,
Yukon,November,1991,
Yukon,December,1991,
Alberta,January,1992,14.0
Alberta,February,1992,11.0
Alberta,March,1992,61.0
Alberta,April,1992,110.0
Alberta,May,1992,91.0
Alberta,June,1992,147.0
Alberta,July,1992,226.0
Alberta,August,1992,339.0
Alberta,September,1992,14.0
Alberta,October,1992,29.0
Alberta,November,1992,15.0
Alberta,December,1992,4.0
British Columbia,January,1992,6.0
British Columbia,February,1992,2.0
British Columbia,March,1992,70.0
British Columbia,April,1992,155.0
British Columbia,May,1992,243.0
British Columbia,June,1992,705.0
British Columbia,July,1992,493.0
British Columbia,August,1992,1803.0
British Columbia,September,1992,197.0
British Columbia,October,1992,126.0
British Columbia,November,1992,4.0
British Columbia,December,1992,1.0
Manitoba,January,1992,
Manitoba,February,1992,1.0
Manitoba,March,1992,1.0
Manitoba,April,1992,7.0
Manitoba,May,1992,76.0
Manitoba,June,1992,45.0
Manitoba,July,1992,57.0
Manitoba,August,1992,102.0
Manitoba,September,1992,5.0
Manitoba,October,1992,4.0
Manitoba,November,1992,
Manitoba,December,1992,
New Brunswick,March,1992,
New Brunswick,April,1992,50.0
New Brunswick,May,1992,345.0
New Brunswick,June,1992,78.0
New Brunswick,July,1992,24.0
New Brunswick,August,1992,42.0
New Brunswick,September,1992,23.0
New Brunswick,October,1992,14.0
New Brunswick,November,1992,
New Brunswick,December,1992,
Newfoundland and Labrador,January,1992,
Newfoundland and Labrador,March,1992,
Newfoundland and Labrador,April,1992,2.0
Newfoundland and Labrador,May,1992,47.0
Newfoundland and Labrador,June,1992,15.0
Newfoundland and Labrador,July,1992,13.0
Newfoundland and Labrador,August,1992,26.0
Newfoundland and Labrador,September,1992,3.0
Newfoundland and Labrador,October,1992,
Newfoundland and Labrador,November,1992,
Newfoundland and Labrador,December,1992,
Northwest Territories,January,1992,
Northwest Territories,February,1992,
Northwest Territories,April,1992,
Northwest Territories,May,1992,9.0
Northwest Territories,June,1992,31.0
Northwest Territories,July,1992,130.0
Northwest Territories,August,1992,100.0
Northwest Territories,September,1992,15.0
Northwest Territories,October,1992,
Northwest Territories,November,1992,
Northwest Territories,December,1992,
Nova Scotia,January,1992,
Nova Scotia,March,1992,
Nova Scotia,April,1992,43.0
Nova Scotia,May,1992,138.0
Nova Scotia,June,1992,46.0
Nova Scotia,July,1992,19.0
Nova Scotia,August,1992,18.0
Nova Scotia,September,1992,19.0
Nova Scotia,October,1992,13.0
Nova Scotia,November,1992,
Ontario,January,1992,
Ontario,February,1992,
Ontario,March,1992,2.0
Ontario,April,1992,58.0
Ontario,May,1992,347.0
Ontario,June,1992,380.0
Ontario,July,1992,60.0
Ontario,August,1992,94.0
Ontario,September,1992,8.0
Ontario,October,1992,11.0
Ontario,November,1992,
Ontario,December,1992,
Prince Edward Island,January,1992,0.0
Prince Edward Island,February,1992,0.0
Prince Edward Island,March,1992,0.0
Prince Edward Island,April,1992,7.0
Prince Edward Island,May,1992,14.0
Prince Edward Island,June,1992,3.0
Prince Edward Island,July,1992,0.0
Prince Edward Island,August,1992,0.0
Prince Edward Island,September,1992,2.0
Prince Edward Island,October,1992,1.0
Prince Edward Island,November,1992,0.0
Prince Edward Island,December,1992,0.0
Quebec,February,1992,
Quebec,March,1992,
Quebec,April,1992,44.0
Quebec,May,1992,405.0
Quebec,June,1992,180.0
Quebec,July,1992,54.0
Quebec,August,1992,59.0
Quebec,September,1992,14.0
Quebec,October,1992,7.0
Quebec,November,1992,2.0
Quebec,December,1992,
Saskatchewan,January,1992,
Saskatchewan,February,1992,
Saskatchewan,March,1992,3.0
Saskatchewan,April,1992,50.0
Saskatchewan,May,1992,103.0
Saskatchewan,June,1992,151.0
Saskatchewan,July,1992,150.0
Saskatchewan,August,1992,215.0
Saskatchewan,September,1992,18.0
Saskatchewan,October,1992,7.0
Saskatchewan,November,1992,2.0
Saskatchewan,December,1992,
Yukon,January,1992,
Yukon,March,1992,
Yukon,April,1992,
Yukon,May,1992,9.0
Yukon,June,1992,26.0
Yukon,July,1992,72.0
Yukon,August,1992,9.0
Yukon,September,1992,
Yukon,October,1992,
Yukon,November,1992,
Yukon,December,1992,
Alberta,January,1993,8.0
Alberta,February,1993,12.0
Alberta,March,1993,29.0
Alberta,April,1993,52.0
Alberta,May,1993,242.0
Alberta,June,1993,342.0
Alberta,July,1993,112.0
Alberta,August,1993,35.0
Alberta,September,1993,17.0
Alberta,October,1993,19.0
Alberta,November,1993,7.0
Alberta,December,1993,1.0
British Columbia,January,1993,3.0
British Columbia,February,1993,16.0
British Columbia,March,1993,34.0
British Columbia,April,1993,77.0
British Columbia,May,1993,322.0
British Columbia,June,1993,189.0
British Columbia,July,1993,153.0
British Columbia,August,1993,274.0
British Columbia,September,1993,300.0
British Columbia,October,1993,119.0
British Columbia,November,1993,10.0
British Columbia,December,1993,
Manitoba,January,1993,
Manitoba,February,1993,
Manitoba,March,1993,2.0
Manitoba,April,1993,39.0
Manitoba,May,1993,67.0
Manitoba,June,1993,97.0
Manitoba,July,1993,24.0
Manitoba,August,1993,6.0
Manitoba,September,1993,3.0
Manitoba,October,1993,1.0
Manitoba,November,1993,
Manitoba,December,1993,
New Brunswick,March,1993,
New Brunswick,April,1993,60.0
New Brunswick,May,1993,195.0
New Brunswick,June,1993,40.0
New Brunswick,July,1993,32.0
New Brunswick,August,1993,72.0
New Brunswick,September,1993,28.0
New Brunswick,October,1993,3.0
New Brunswick,November,1993,
New Brunswick,December,1993,
Newfoundland and Labrador,January,1993,
Newfoundland and Labrador,March,1993,
Newfoundland and Labrador,April,1993,1.0
Newfoundland and Labrador,May,1993,13.0
Newfoundland and Labrador,June,1993,24.0
Newfoundland and Labrador,July,1993,5.0
Newfoundland and Labrador,August,1993,13.0
Newfoundland and Labrador,September,1993,5.0
Newfoundland and Labrador,October,1993,4.0
Newfoundland and Labrador,November,1993,
Newfoundland and Labrador,December,1993,
Northwest Territories,January,1993,
Northwest Territories,February,1993,
Northwest Territories,April,1993,
Northwest Territories,May,1993,13.0
Northwest Territories,June,1993,175.0
Northwest Territories,July,1993,249.0
Northwest Territories,August,1993,30.0
Northwest Territories,September,1993,4.0
Northwest Territories,October,1993,
Northwest Territories,November,1993,
Northwest Territories,December,1993,2.0
Nova Scotia,January,1993,
Nova Scotia,March,1993,
Nova Scotia,April,1993,78.0
Nova Scotia,May,1993,110.0
Nova Scotia,June,1993,20.0
Nova Scotia,July,1993,21.0
Nova Scotia,August,1993,43.0
Nova Scotia,September,1993,26.0
Nova Scotia,October,1993,4.0
Nova Scotia,November,1993,
Ontario,January,1993,
Ontario,February,1993,
Ontario,March,1993,1.0
Ontario,April,1993,112.0
Ontario,May,1993,171.0
Ontario,June,1993,129.0
Ontario,July,1993,158.0
Ontario,August,1993,144.0
Ontario,September,1993,11.0
Ontario,October,1993,10.0
Ontario,November,1993,4.0
Ontario,December,1993,2.0
Prince Edward Island,January,1993,0.0
Prince Edward Island,February,1993,0.0
Prince Edward Island,March,1993,0.0
Prince Edward Island,April,1993,0.0
Prince Edward Island,May,1993,26.0
Prince Edward Island,June,1993,2.0
Prince Edward Island,July,1993,0.0
Prince Edward Island,August,1993,0.0
Prince Edward Island,September,1993,1.0
Prince Edward Island,October,1993,0.0
Prince Edward Island,November,1993,0.0
Prince Edward Island,December,1993,0.0
Quebec,February,1993,
Quebec,March,1993,
Quebec,April,1993,32.0
Quebec,May,1993,188.0
Quebec,June,1993,98.0
Quebec,July,1993,129.0
Quebec,August,1993,81.0
Quebec,September,1993,10.0
Quebec,October,1993,4.0
Quebec,November,1993,1.0
Quebec,December,1993,
Saskatchewan,January,1993,2.0
Saskatchewan,February,1993,1.0
Saskatchewan,March,1993,21.0
Saskatchewan,April,1993,47.0
Saskatchewan,May,1993,219.0
Saskatchewan,June,1993,216.0
Saskatchewan,July,1993,82.0
Saskatchewan,August,1993,30.0
Saskatchewan,September,1993,22.0
Saskatchewan,October,1993,3.0
Saskatchewan,November,1993,2.0
Saskatchewan,December,1993,
Yukon,January,1993,
Yukon,March,1993,
Yukon,April,1993,1.0
Yukon,May,1993,21.0
Yukon,June,1993,45.0
Yukon,July,1993,48.0
Yukon,August,1993,10.0
Yukon,September,1993,10.0
Yukon,October,1993,1.0
Yukon,November,1993,
Yukon,December,1993,
Alberta,January,1994,4.0
Alberta,February,1994,
Alberta,March,1994,12.0
Alberta,April,1994,64.0
Alberta,May,1994,132.0
Alberta,June,1994,231.0
Alberta,July,1994,223.0
Alberta,August,1994,118.0
Alberta,September,1994,83.0
Alberta,October,1994,25.0
Alberta,November,1994,30.0
Alberta,December,1994,9.0
British Columbia,January,1994,6.0
British Columbia,February,1994,2.0
British Columbia,March,1994,66.0
British Columbia,April,1994,142.0
British Columbia,May,1994,212.0
British Columbia,June,1994,172.0
British Columbia,July,1994,1030.0
British Columbia,August,1994,2118.0
British Columbia,September,1994,238.0
British Columbia,October,1994,70.0
British Columbia,November,1994,1.0
British Columbia,December,1994,
Manitoba,January,1994,
Manitoba,February,1994,
Manitoba,March,1994,1.0
Manitoba,April,1994,49.0
Manitoba,May,1994,115.0
Manitoba,June,1994,170.0
Manitoba,July,1994,82.0
Manitoba,August,1994,73.0
Manitoba,September,1994,57.0
Manitoba,October,1994,7.0
Manitoba,November,1994,1.0
Manitoba,December,1994,
New Brunswick,March,1994,
New Brunswick,April,1994,41.0
New Brunswick,May,1994,89.0
New Brunswick,June,1994,37.0
New Brunswick,July,1994,48.0
New Brunswick,August,1994,104.0
New Brunswick,September,1994,40.0
New Brunswick,October,1994,137.0
New Brunswick,November,1994,22.0
New Brunswick,December,1994,
Newfoundland and Labrador,January,1994,
Newfoundland and Labrador,March,1994,
Newfoundland and Labrador,April,1994,3.0
Newfoundland and Labrador,May,1994,15.0
Newfoundland and Labrador,June,1994,35.0
Newfoundland and Labrador,July,1994,35.0
Newfoundland and Labrador,August,1994,35.0
Newfoundland and Labrador,September,1994,5.0
Newfoundland and Labrador,October,1994,1.0
Newfoundland and Labrador,November,1994,
Newfoundland and Labrador,December,1994,
Northwest Territories,January,1994,2.0
Northwest Territories,February,1994,1.0
Northwest Territories,April,1994,1.0
Northwest Territories,May,1994,37.0
Northwest Territories,June,1994,185.0
Northwest Territories,July,1994,326.0
Northwest Territories,August,1994,78.0
Northwest Territories,September,1994,13.0
Northwest Territories,October,1994,8.0
Northwest Territories,November,1994,1.0
Northwest Territories,December,1994,1.0
Nova Scotia,January,1994,
Nova Scotia,March,1994,1.0
Nova Scotia,April,1994,63.0
Nova Scotia,May,1994,33.0
Nova Scotia,June,1994,28.0
Nova Scotia,July,1994,57.0
Nova Scotia,August,1994,23.0
Nova Scotia,September,1994,22.0
Nova Scotia,October,1994,22.0
Nova Scotia,November,1994,14.0
Ontario,January,1994,
Ontario,February,1994,
Ontario,March,1994,4.0
Ontario,April,1994,222.0
Ontario,May,1994,266.0
Ontario,June,1994,412.0
Ontario,July,1994,59.0
Ontario,August,1994,55.0
Ontario,September,1994,27.0
Ontario,October,1994,27.0
Ontario,November,1994,7.0
Ontario,December,1994,
Prince Edward Island,January,1994,0.0
Prince Edward Island,February,1994,0.0
Prince Edward Island,March,1994,0.0
Prince Edward Island,April,1994,12.0
Prince Edward Island,May,1994,3.0
Prince Edward Island,June,1994,3.0
Prince Edward Island,July,1994,4.0
Prince Edward Island,August,1994,7.0
Prince Edward Island,September,1994,3.0
Prince Edward Island,October,1994,4.0
Prince Edward Island,November,1994,7.0
Prince Edward Island,December,1994,0.0
Quebec,February,1994,
Quebec,March,1994,
Quebec,April,1994,15.0
Quebec,May,1994,218.0
Quebec,June,1994,139.0
Quebec,July,1994,27.0
Quebec,August,1994,30.0
Quebec,September,1994,17.0
Quebec,October,1994,46.0
Quebec,November,1994,7.0
Quebec,December,1994,
Saskatchewan,January,1994,1.0
Saskatchewan,February,1994,
Saskatchewan,March,1994,1.0
Saskatchewan,April,1994,28.0
Saskatchewan,May,1994,95.0
Saskatchewan,June,1994,153.0
Saskatchewan,July,1994,74.0
Saskatchewan,August,1994,193.0
Saskatchewan,September,1994,142.0
Saskatchewan,October,1994,10.0
Saskatchewan,November,1994,
Saskatchewan,December,1994,
Yukon,January,1994,
Yukon,March,1994,
Yukon,April,1994,5.0
Yukon,May,1994,16.0
Yukon,June,1994,47.0
Yukon,July,1994,113.0
Yukon,August,1994,73.0
Yukon,September,1994,1.0
Yukon,October,1994,
Yukon,November,1994,
Yukon,December,1994,
Alberta,January,1995,10.0
Alberta,February,1995,6.0
Alberta,March,1995,29.0
Alberta,April,1995,57.0
Alberta,May,1995,215.0
Alberta,June,1995,272.0
Alberta,July,1995,97.0
Alberta,August,1995,26.0
Alberta,September,1995,58.0
Alberta,October,1995,33.0
Alberta,November,1995,5.0
Alberta,December,1995,
British Columbia,January,1995,5.0
British Columbia,February,1995,5.0
British Columbia,March,1995,61.0
British Columbia,April,1995,181.0
British Columbia,May,1995,316.0
British Columbia,June,1995,281.0
British Columbia,July,1995,277.0
British Columbia,August,1995,90.0
British Columbia,September,1995,238.0
British Columbia,October,1995,15.0
British Columbia,November,1995,5.0
British Columbia,December,1995,
Manitoba,January,1995,
Manitoba,February,1995,
Manitoba,March,1995,
Manitoba,April,1995,13.0
Manitoba,May,1995,154.0
Manitoba,June,1995,344.0
Manitoba,July,1995,90.0
Manitoba,August,1995,28.0
Manitoba,September,1995,12.0
Manitoba,October,1995,21.0
Manitoba,November,1995,
Manitoba,December,1995,
New Brunswick,March,1995,
New Brunswick,April,1995,28.0
New Brunswick,May,1995,71.0
New Brunswick,June,1995,116.0
New Brunswick,July,1995,89.0
New Brunswick,August,1995,156.0
New Brunswick,September,1995,74.0
New Brunswick,October,1995,11.0
New Brunswick,November,1995,2.0
New Brunswick,December,1995,
Newfoundland and Labrador,January,1995,
Newfoundland and Labrador,March,1995,
Newfoundland and Labrador,April,1995,3.0
Newfoundland and Labrador,May,1995,23.0
Newfoundland and Labrador,June,1995,20.0
Newfoundland and Labrador,July,1995,14.0
Newfoundland and Labrador,August,1995,23.0
Newfoundland and Labrador,September,1995,3.0
Newfoundland and Labrador,October,1995,
Newfoundland and Labrador,November,1995,
Newfoundland and Labrador,December,1995,
Northwest Territories,January,1995,
Northwest Territories,February,1995,
Northwest Territories,April,1995,1.0
Northwest Territories,May,1995,24.0
Northwest Territories,June,1995,79.0
Northwest Territories,July,1995,56.0
Northwest Territories,August,1995,47.0
Northwest Territories,September,1995,7.0
Northwest Territories,October,1995,1.0
Northwest Territories,November,1995,3.0
Northwest Territories,December,1995,
Nova Scotia,January,1995,
Nova Scotia,March,1995,28.0
Nova Scotia,April,1995,80.0
Nova Scotia,May,1995,145.0
Nova Scotia,June,1995,49.0
Nova Scotia,July,1995,26.0
Nova Scotia,August,1995,36.0
Nova Scotia,September,1995,37.0
Nova Scotia,October,1995,4.0
Nova Scotia,November,1995,2.0
Ontario,January,1995,
Ontario,February,1995,
Ontario,March,1995,137.0
Ontario,April,1995,128.0
Ontario,May,1995,230.0
Ontario,June,1995,900.0
Ontario,July,1995,150.0
Ontario,August,1995,442.0
Ontario,September,1995,125.0
Ontario,October,1995,36.0
Ontario,November,1995,2.0
Ontario,December,1995,
Prince Edward Island,January,1995,0.0
Prince Edward Island,February,1995,0.0
Prince Edward Island,March,1995,0.0
Prince Edward Island,April,1995,0.0
Prince Edward Island,May,1995,11.0
Prince Edward Island,June,1995,2.0
Prince Edward Island,July,1995,3.0
Prince Edward Island,August,1995,7.0
Prince Edward Island,September,1995,4.0
Prince Edward Island,October,1995,2.0
Prince Edward Island,November,1995,0.0
Prince Edward Island,December,1995,0.0
Quebec,February,1995,
Quebec,March,1995,9.0
Quebec,April,1995,33.0
Quebec,May,1995,139.0
Quebec,June,1995,470.0
Quebec,July,1995,170.0
Quebec,August,1995,367.0
Quebec,September,1995,53.0
Quebec,October,1995,23.0
Quebec,November,1995,1.0
Quebec,December,1995,
Saskatchewan,January,1995,
Saskatchewan,February,1995,
Saskatchewan,March,1995,
Saskatchewan,April,1995,10.0
Saskatchewan,May,1995,222.0
Saskatchewan,June,1995,283.0
Saskatchewan,July,1995,85.0
Saskatchewan,August,1995,18.0
Saskatchewan,September,1995,20.0
Saskatchewan,October,1995,9.0
Saskatchewan,November,1995,3.0
Saskatchewan,December,1995,1.0
Yukon,January,1995,
Yukon,March,1995,1.0
Yukon,April,1995,4.0
Yukon,May,1995,31.0
Yukon,June,1995,80.0
Yukon,July,1995,22.0
Yukon,August,1995,6.0
Yukon,September,1995,2.0
Yukon,October,1995,
Yukon,November,1995,1.0
Yukon,December,1995,
Alberta,January,1996,1.0
Alberta,February,1996,
Alberta,March,1996,1.0
Alberta,April,1996,26.0
Alberta,May,1996,56.0
Alberta,June,1996,124.0
Alberta,July,1996,89.0
Alberta,August,1996,76.0
Alberta,September,1996,14.0
Alberta,October,1996,7.0
Alberta,November,1996,2.0
Alberta,December,1996,2.0
British Columbia,January,1996,5.0
British Columbia,February,1996,3.0
British Columbia,March,1996,31.0
British Columbia,April,1996,60.0
British Columbia,May,1996,82.0
British Columbia,June,1996,155.0
British Columbia,July,1996,452.0
British Columbia,August,1996,489.0
British Columbia,September,1996,64.0
British Columbia,October,1996,16.0
British Columbia,November,1996,1.0
British Columbia,December,1996,2.0
Manitoba,January,1996,
Manitoba,February,1996,
Manitoba,March,1996,
Manitoba,April,1996,1.0
Manitoba,May,1996,77.0
Manitoba,June,1996,103.0
Manitoba,July,1996,155.0
Manitoba,August,1996,59.0
Manitoba,September,1996,23.0
Manitoba,October,1996,4.0
Manitoba,November,1996,
Manitoba,December,1996,
New Brunswick,March,1996,1.0
New Brunswick,April,1996,26.0
New Brunswick,May,1996,75.0
New Brunswick,June,1996,129.0
New Brunswick,July,1996,11.0
New Brunswick,August,1996,74.0
New Brunswick,September,1996,37.0
New Brunswick,October,1996,13.0
New Brunswick,November,1996,1.0
New Brunswick,December,1996,
Newfoundland and Labrador,January,1996,
Newfoundland and Labrador,March,1996,
Newfoundland and Labrador,April,1996,13.0
Newfoundland and Labrador,May,1996,23.0
Newfoundland and Labrador,June,1996,12.0
Newfoundland and Labrador,July,1996,4.0
Newfoundland and Labrador,August,1996,48.0
Newfoundland and Labrador,September,1996,9.0
Newfoundland and Labrador,October,1996,2.0
Newfoundland and Labrador,November,1996,
Newfoundland and Labrador,December,1996,
Northwest Territories,January,1996,
Northwest Territories,February,1996,
Northwest Territories,April,1996,1.0
Northwest Territories,May,1996,11.0
Northwest Territories,June,1996,182.0
Northwest Territories,July,1996,134.0
Northwest Territories,August,1996,22.0
Northwest Territories,September,1996,
Northwest Territories,October,1996,
Northwest Territories,November,1996,
Northwest Territories,December,1996,
Nova Scotia,January,1996,
Nova Scotia,March,1996,55.0
Nova Scotia,April,1996,65.0
Nova Scotia,May,1996,66.0
Nova Scotia,June,1996,45.0
Nova Scotia,July,1996,9.0
Nova Scotia,August,1996,20.0
Nova Scotia,September,1996,7.0
Nova Scotia,October,1996,3.0
Nova Scotia,November,1996,
Ontario,January,1996,
Ontario,February,1996,
Ontario,March,1996,7.0
Ontario,April,1996,30.0
Ontario,May,1996,241.0
Ontario,June,1996,570.0
Ontario,July,1996,198.0
Ontario,August,1996,144.0
Ontario,September,1996,73.0
Ontario,October,1996,11.0
Ontario,November,1996,
Ontario,December,1996,
Prince Edward Island,January,1996,0.0
Prince Edward Island,February,1996,0.0
Prince Edward Island,March,1996,0.0
Prince Edward Island,April,1996,0.0
Prince Edward Island,May,1996,0.0
