latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
62.530754,-114.607605,204.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_min (%)
1990-01-01,-20.1,-15.3,77,0.10,6,0.09,1.0,16.3,14.3,74
1990-01-02,-29.5,-26.9,73,0.00,320,0.05,0.0,14.8,12.3,72
1990-01-03,-30.9,-29.7,73,0.00,289,0.04,0.0,13.5,11.8,72
1990-01-04,-35.0,-32.9,74,0.00,286,0.02,0.0,11.6,9.3,73
1990-01-05,-33.6,-32.0,74,0.00,295,0.02,0.0,11.6,7.9,71
1990-01-06,-29.9,-28.3,74,0.00,43,0.03,0.0,13.7,8.6,72
1990-01-07,-28.4,-23.7,74,0.00,105,0.05,0.0,15.7,11.8,74
1990-01-08,-20.6,-17.7,78,0.90,92,0.06,6.0,10.9,9.4,75
1990-01-09,-19.3,-17.6,82,0.00,109,0.02,0.0,12.2,7.2,81
1990-01-10,-15.2,-12.5,84,2.50,10,0.08,8.0,28.9,16.4,75
1990-01-11,-25.3,-19.8,72,0.30,301,0.09,3.0,28.4,15.9,70
1990-01-12,-26.9,-23.6,72,0.00,106,0.08,0.0,18.2,15.5,71
1990-01-13,-22.4,-20.6,78,0.00,90,0.06,0.0,17.6,10.4,73
1990-01-14,-20.0,-17.4,81,0.00,127,0.05,0.0,21.1,10.9,80
1990-01-15,-16.3,-14.7,78,0.20,292,0.16,2.0,25.9,20.9,74
1990-01-16,-21.1,-18.4,81,0.00,254,0.05,0.0,17.1,11.0,76
1990-01-17,-26.4,-20.8,75,0.00,352,0.06,0.0,19.6,13.1,70
1990-01-18,-29.9,-26.3,71,0.00,85,0.06,0.0,15.2,12.5,68
1990-01-19,-28.4,-25.4,70,0.10,96,0.09,1.0,31.0,18.5,68
1990-01-20,-21.1,-19.5,76,3.40,101,0.11,10.0,32.0,18.5,67
1990-01-21,-25.4,-23.1,76,0.00,323,0.06,0.0,12.8,10.3,73
1990-01-22,-27.9,-25.9,76,0.00,44,0.03,0.0,8.9,7.1,75
1990-01-23,-27.4,-25.4,76,0.10,353,0.03,1.0,8.4,7.0,74
1990-01-24,-28.0,-27.7,74,0.00,9,0.02,0.0,6.1,2.9,73
1990-01-25,-34.2,-28.6,73,0.00,350,0.03,0.0,11.2,8.3,69
1990-01-26,-40.0,-37.5,69,0.00,355,0.02,0.0,11.2,8.4,65
1990-01-27,-41.9,-39.5,67,0.00,26,0.01,0.0,8.5,5.9,65
1990-01-28,-46.6,-44.1,65,0.00,328,0.02,0.0,11.5,10.1,64
1990-01-29,-44.2,-41.4,66,0.00,308,0.02,0.0,14.0,10.4,65
1990-01-30,-39.1,-37.1,65,0.00,311,0.05,0.0,21.1,19.0,65
1990-01-31,-39.0,-37.3,66,0.00,320,0.04,0.0,20.9,13.6,64
1990-02-01,-40.9,-39.4,68,0.00,110,0.02,0.0,11.2,6.1,65
1990-02-02,-36.9,-31.8,68,0.00,108,0.05,0.0,18.7,16.3,65
1990-02-03,-31.6,-29.8,71,0.00,104,0.05,0.0,14.8,8.0,66
1990-02-04,-34.9,-32.5,72,0.00,314,0.04,0.0,10.5,7.7,68
1990-02-05,-35.4,-30.2,70,0.00,37,0.04,0.0,10.9,7.5,66
1990-02-06,-29.8,-27.6,71,0.00,27,0.06,0.0,11.5,7.1,67
1990-02-07,-28.1,-25.4,73,0.00,62,0.05,0.0,9.8,4.0,69
1990-02-08,-29.3,-25.6,71,0.00,322,0.08,0.0,19.6,16.4,65
1990-02-09,-34.9,-31.9,68,0.00,325,0.05,0.0,16.1,7.7,63
1990-02-10,-35.5,-30.5,70,0.00,91,0.05,0.0,10.5,8.1,66
1990-02-11,-33.2,-31.3,70,0.00,327,0.05,0.0,16.4,10.5,64
1990-02-12,-36.5,-33.2,67,0.00,311,0.06,0.0,16.7,13.3,65
1990-02-13,-32.9,-29.4,72,0.00,293,0.07,0.0,16.8,12.8,70
1990-02-14,-35.4,-29.9,68,0.00,341,0.06,0.0,16.0,12.5,59
1990-02-15,-38.7,-35.5,66,0.00,303,0.05,0.0,12.5,11.7,60
1990-02-16,-36.1,-31.3,67,0.00,229,0.07,0.0,17.6,12.2,62
1990-02-17,-27.6,-22.1,68,0.00,227,0.14,0.0,18.8,16.0,62
1990-02-18,-30.9,-23.9,70,0.00,4,0.09,0.0,16.1,9.1,61
1990-02-19,-25.7,-18.9,73,0.70,115,0.16,5.0,23.4,18.6,66
1990-02-20,-24.3,-19.0,73,0.00,298,0.15,0.0,24.2,18.7,63
1990-02-21,-28.8,-25.4,69,0.00,356,0.12,0.0,17.1,9.4,60
1990-02-22,-30.2,-26.2,69,0.00,92,0.10,0.0,10.8,7.9,61
1990-02-23,-29.8,-26.6,70,0.00,315,0.11,0.0,18.3,13.2,62
1990-02-24,-29.5,-23.7,70,0.60,138,0.10,3.0,23.3,13.3,66
1990-02-25,-20.1,-17.7,75,1.80,61,0.20,11.0,28.8,19.3,65
1990-02-26,-22.8,-19.1,71,0.00,305,0.22,0.0,28.1,13.8,64
1990-02-27,-18.4,-13.0,79,0.00,135,0.25,0.0,19.1,14.6,71
1990-02-28,-5.1,0.0,74,0.60,233,0.64,4.0,38.7,24.8,66
1990-03-01,-17.3,-9.6,71,0.00,312,0.37,0.0,37.4,24.6,65
1990-03-02,-22.2,-17.4,73,0.00,114,0.19,0.0,21.1,13.9,66
1990-03-03,-17.2,-12.8,75,0.00,117,0.32,0.0,17.9,13.7,67
1990-03-04,-12.5,-7.9,83,0.00,115,0.36,0.0,17.8,15.9,78
1990-03-05,-7.9,-4.1,88,0.00,141,0.43,0.0,16.3,13.7,83
1990-03-06,-6.4,-2.0,89,0.00,126,0.40,0.0,17.8,13.6,84
1990-03-07,-5.5,-2.3,81,0.00,240,0.47,0.0,22.3,18.3,69
1990-03-08,-16.5,-9.9,76,0.00,341,0.27,0.0,16.3,12.3,69
1990-03-09,-20.9,-16.9,75,0.00,347,0.31,0.0,14.1,8.8,68
1990-03-10,-22.1,-17.2,75,0.00,45,0.26,0.0,11.5,7.8,67
1990-03-11,-22.2,-18.8,73,0.00,74,0.28,0.0,14.1,12.1,68
1990-03-12,-17.7,-11.3,77,0.00,123,0.36,0.0,19.3,16.0,71
1990-03-13,-10.8,-6.6,84,0.00,136,0.50,0.0,21.1,15.2,77
1990-03-14,-9.9,-5.3,87,0.00,65,0.41,0.0,14.9,10.6,81
1990-03-15,-6.3,-3.4,87,0.00,76,0.50,0.0,19.7,13.7,82
1990-03-16,-10.6,-3.9,76,0.00,321,0.54,0.0,21.3,18.0,65
1990-03-17,-13.6,-8.5,78,0.00,141,0.47,0.0,14.3,8.1,67
1990-03-18,-7.1,-4.7,83,0.00,212,0.51,0.0,26.7,19.0,78
1990-03-19,-14.5,-6.5,72,0.00,339,0.48,0.0,25.6,20.6,62
1990-03-20,-20.1,-16.0,72,0.00,304,0.38,0.0,19.3,13.0,63
1990-03-21,-16.9,-13.9,69,0.10,308,0.42,1.0,33.0,23.6,60
1990-03-22,-20.1,-14.2,72,0.00,319,0.42,0.0,24.2,17.5,59
1990-03-23,-14.6,-3.1,71,0.00,265,0.59,0.0,24.9,12.9,59
1990-03-24,-9.7,-3.8,72,0.00,324,0.66,0.0,29.6,27.0,64
1990-03-25,-17.5,-13.0,72,0.00,17,0.48,0.0,24.6,10.9,64
1990-03-26,-16.2,-10.4,69,0.00,111,0.62,0.0,15.6,13.9,58
1990-03-27,-11.8,-6.3,74,0.00,134,0.80,0.0,15.0,10.8,62
1990-03-28,-7.3,-1.3,84,0.00,152,0.59,0.0,21.3,14.8,78
1990-03-29,-1.1,0.2,88,0.90,269,0.63,3.0,16.9,11.4,78
1990-03-30,-4.8,-0.0,84,5.00,62,0.60,13.0,14.9,11.7,73
1990-03-31,-8.8,-3.9,81,0.20,124,0.73,1.0,13.0,10.8,74
1990-04-01,-5.8,-1.2,85,0.00,101,0.75,0.0,17.5,13.6,79
1990-04-02,-2.5,-0.8,84,2.00,58,0.90,8.0,19.8,15.4,79
1990-04-03,-5.6,-1.3,82,0.00,57,0.68,0.0,12.6,9.5,73
1990-04-04,-8.1,-3.4,81,0.00,117,0.87,0.0,17.8,11.4,74
1990-04-05,-2.0,2.7,77,0.00,164,1.25,0.0,27.9,25.2,74
1990-04-06,0.8,3.3,82,0.10,299,1.10,1.0,27.5,21.6,73
1990-04-07,-6.4,-0.8,74,0.00,332,0.80,0.0,27.2,19.6,61
1990-04-08,-10.6,-9.2,73,0.70,332,0.73,5.0,26.4,17.6,60
1990-04-09,-11.7,-6.8,74,0.00,329,0.75,0.0,19.1,12.5,61
1990-04-10,-6.3,-2.5,79,0.00,216,1.04,0.0,14.5,9.7,71
1990-04-11,-5.4,-2.7,80,0.00,327,0.80,0.0,24.4,17.0,69
1990-04-12,-10.6,-7.4,70,0.00,324,0.90,0.0,22.7,15.0,58
1990-04-13,-9.3,-4.8,76,0.00,187,0.89,0.0,11.6,8.9,58
1990-04-14,-7.2,-2.6,82,0.10,309,0.87,1.0,14.0,9.2,66
1990-04-15,-6.9,-2.5,76,0.10,315,0.89,1.0,18.4,14.5,68
1990-04-16,-5.5,-1.8,81,0.00,268,1.19,0.0,16.8,10.8,68
1990-04-17,-2.6,3.0,81,0.00,124,1.36,0.0,21.4,16.9,69
1990-04-18,-0.0,3.0,83,0.00,74,0.92,0.0,18.3,16.4,72
1990-04-19,-6.2,-2.9,82,0.00,78,1.00,0.0,17.1,10.8,79
1990-04-20,-0.3,4.9,86,1.30,134,1.75,4.0,16.6,11.7,76
